Zone,cluster,NewCap,unnamed: 0,net_cluster,region,tech,case,resource,zone,endcap,endenergycap,endchargecap,newcap,retcap,newenergycap,retenergycap,newchargecap,retchargecap,iter,resource_type,policy,cpa_id,lcoe,area,latitude,longitude,interconnect_annuity,state,m_landcover,m_primefarmland,exfacil,plfacil,m_hmi,m_popden,cpa_mw,name,cluster
1.0,2,547.1984210249494,62845,2,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000002,0,0,699.3000002,0,0,0,0,0,3,Onshore_Wind,1,72126,43.14086,33.0,42.92249849,-75.33550803,10103.024,New York,41.0,1.0,0.0,0.0,0.475029791,3.984848485,8.91,Onshore_WindNY_Z_C&E2_3,2
1.0,2,547.1984210249494,64376,2,NY_Z_C&E,Onshore_Wind,0.1_1,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.2999997,0,0,699.2999997,0,0,0,0,0,1,Onshore_Wind,1,71567,43.841877,63.75000077,43.60558968,-75.45989009,13936.775,New York,41.0,0.0,0.0,0.0,0.304151113,5.619607843,8.60625,Onshore_WindNY_Z_C&E2_1,2
1.0,2,547.1984210249494,63199,2,NY_Z_C&E,Onshore_Wind,0.1_11,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,4,Onshore_Wind,1,71567,43.841877,63.75000077,43.60558968,-75.45989009,13936.775,New York,41.0,0.0,0.0,0.0,0.304151113,5.619607843,8.60625,Onshore_WindNY_Z_C&E2_4,2
1.0,2,547.1984210249494,62394,2,NY_Z_C&E,Onshore_Wind,0.1_12,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000001,0,0,699.3000001,0,0,0,0,0,5,Onshore_Wind,1,71567,43.841877,63.75000077,43.60558968,-75.45989009,13936.775,New York,41.0,0.0,0.0,0.0,0.304151113,5.619607843,8.60625,Onshore_WindNY_Z_C&E2_5,2
1.0,2,547.1984210249494,62639,2,NY_Z_C&E,Onshore_Wind,0.1_16,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,9,Onshore_Wind,1,71567,43.841877,63.75000077,43.60558968,-75.45989009,13936.775,New York,41.0,0.0,0.0,0.0,0.304151113,5.619607843,8.60625,Onshore_WindNY_Z_C&E2_9,2
1.0,2,547.1984210249494,62849,2,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000002,0,0,699.3000002,0,0,0,0,0,3,Onshore_Wind,1,71567,43.841877,63.75000077,43.60558968,-75.45989009,13936.775,New York,41.0,0.0,0.0,0.0,0.304151113,5.619607843,8.60625,Onshore_WindNY_Z_C&E2_3,2
1.0,2,547.1984210249494,62640,2,NY_Z_C&E,Onshore_Wind,0.1_16,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,9,Onshore_Wind,1,72082,44.26497,60.25000056,42.40588857,-75.30317007,16198.945,New York,41.0,1.0,0.0,0.0,0.259992749,5.580912863,8.13375,Onshore_WindNY_Z_C&E2_9,2
1.0,2,547.1984210249494,63200,2,NY_Z_C&E,Onshore_Wind,0.1_11,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3,0,0,699.3,0,0,0,0,0,4,Onshore_Wind,1,72082,44.26497,60.25000056,42.40588857,-75.30317007,16198.945,New York,41.0,1.0,0.0,0.0,0.259992749,5.580912863,8.13375,Onshore_WindNY_Z_C&E2_4,2
1.0,2,547.1984210249494,62850,2,NY_Z_C&E,Onshore_Wind,0.1_100,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.3000002,0,0,699.3000002,0,0,0,0,0,3,Onshore_Wind,1,72082,44.26497,60.25000056,42.40588857,-75.30317007,16198.945,New York,41.0,1.0,0.0,0.0,0.259992749,5.580912863,8.13375,Onshore_WindNY_Z_C&E2_3,2
1.0,2,547.1984210249494,64377,2,NY_Z_C&E,Onshore_Wind,0.1_1,NY_Z_C&E_landbasedwind_class1_moderate_2,4,699.2999997,0,0,699.2999997,0,0,0,0,0,1,Onshore_Wind,1,72082,44.26497,60.25000056,42.40588857,-75.30317007,16198.945,New York,41.0,1.0,0.0,0.0,0.259992749,5.580912863,8.13375,Onshore_WindNY_Z_C&E2_1,2
